# Метеостанция Москва (ВДНХ), Россия, WMO_ID=27612, выборка с 01.02.2005 по 03.07.2022, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=27612&lang=ru
#
"Местное время в Москве (ВДНХ)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"16.06.2022 00:00";"15.0";"745.3";"758.5";"0.5";"73";"Ветер, дующий с запада";"1";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"10.2";"";"";"";"";"";"";
"15.06.2022 21:00";"16.9";"744.8";"758.0";"0.4";"62";"Ветер, дующий с востока";"1";"";"";"60%.";" ";"";"";"";"19.2";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"40%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"9.6";"Осадков нет";"12";"";"";"";"";
"15.06.2022 18:00";"18.5";"744.4";"757.6";"-0.3";"54";"Ветер, дующий с юго-юго-запада";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"9.0";"Осадков нет";"12";"";"";"";"";
"15.06.2022 15:00";"17.9";"744.7";"757.8";"0.6";"55";"Ветер, дующий с юго-юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"2000-2500";"";"";"20.0";"8.7";"";"";"";"";"";"";
"15.06.2022 12:00";"16.6";"744.1";"757.3";"0.5";"59";"Ветер, дующий с юго-запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"8.4";"";"";"";"";"";"";
"15.06.2022 09:00";"14.6";"743.6";"756.9";"0.3";"67";"Ветер, дующий с запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"12.4";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"8.6";"Осадков нет";"12";"Поверхность почвы влажная.";"13.0";"";"";
"15.06.2022 06:00";"13.6";"743.3";"756.6";"0.1";"74";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"12.4";"";"";"";"";"";"";"20.0";"9.1";"6.0";"12";"";"";"";"";
"15.06.2022 03:00";"12.7";"743.2";"756.6";"0.0";"91";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"11.2";"";"";"";"";"";"";
"15.06.2022 00:00";"15.8";"743.2";"756.4";"1.0";"84";"Ветер, дующий с западо-северо-запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"13.1";"";"";"";"";"";"";
"14.06.2022 21:00";"16.9";"742.2";"755.3";"0.8";"93";"Ветер, дующий с юга";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Гроза (грозы) с осадками или без них.";"Ливень (ливни).";"";"26.7";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"19.0";"15.8";"6.0";"12";"";"";"";"";
"14.06.2022 18:00";"21.5";"741.4";"754.3";"-0.6";"64";"Ветер, дующий с запада";"2";"";"";"90  или более, но не 100%";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"17.0";"14.4";"0.2";"12";"";"";"";"";
"14.06.2022 15:00";"25.9";"742.0";"754.8";"-1.4";"42";"Ветер, дующий с юго-юго-востока";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"11.9";"";"";"";"";"";"";
"14.06.2022 12:00";"24.5";"743.4";"756.1";"-0.8";"51";"Ветер, дующий с юга";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"19.0";"13.6";"";"";"";"";"";"";
"14.06.2022 09:00";"22.0";"744.2";"757.1";"-0.2";"73";"Ветер, дующий с востоко-юго-востока";"1";"";"";"90  или более, но не 100%";" ";"";"";"14.8";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"16.0";"16.9";"Осадков нет";"12";"Поверхность почвы влажная.";"13.0";"";"";
"14.06.2022 06:00";"16.2";"744.4";"757.6";"0.0";"97";"Штиль, безветрие";"0";"";"";"70 – 80%.";"Дымка. ";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"14.8";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"50%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"15.8";"Осадков нет";"12";"";"";"";"";
"14.06.2022 03:00";"15.1";"744.4";"757.6";"0.2";"97";"Штиль, безветрие";"0";"";"";"40%.";"Дымка. ";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"2.4";"14.7";"";"";"";"";"";"";
"14.06.2022 00:00";"16.3";"744.2";"757.4";"0.0";"96";"Штиль, безветрие";"0";"";"";"50%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"50%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"13.0";"15.6";"";"";"";"";"";"";
"13.06.2022 21:00";"18.0";"744.2";"757.3";"0.0";"90";"Штиль, безветрие";"0";"";"";"60%.";"Состояние неба в общем не изменилось. ";"Гроза (грозы) с осадками или без них.";"Ливень (ливни).";"";"23.6";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"16.4";"1.0";"12";"";"";"";"";
"13.06.2022 18:00";"19.8";"744.2";"757.2";"-0.1";"86";"Ветер, дующий с востоко-юго-востока";"1";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"Гроза (грозы) с осадками или без них.";"Ливень (ливни).";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"18.0";"17.4";"1.0";"12";"";"";"";"";
"13.06.2022 15:00";"22.3";"744.3";"757.2";"-0.5";"56";"Ветер, дующий с юго-юго-востока";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"13.0";"";"";"";"";"";"";
"13.06.2022 12:00";"22.7";"744.8";"757.7";"-0.5";"57";"Ветер, дующий с юго-юго-востока";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"13.7";"";"";"";"";"";"";
"13.06.2022 09:00";"22.5";"745.3";"758.2";"-0.4";"52";"Ветер, дующий с юго-юго-востока";"1";"";"";"70 – 80%.";" ";"";"";"16.7";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"20.0";"12.2";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"15.0";"";"";
"13.06.2022 06:00";"17.8";"745.7";"758.8";"-0.5";"55";"Ветер, дующий с юго-востока";"1";"";"";"60%.";" ";"";"";"16.7";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"8.7";"Осадков нет";"12";"";"";"";"";
"13.06.2022 03:00";"17.8";"746.2";"759.4";"-0.4";"46";"Ветер, дующий с востоко-юго-востока";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"6.1";"";"";"";"";"";"";
"13.06.2022 00:00";"18.3";"746.6";"759.7";"0.4";"50";"Штиль, безветрие";"0";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"10%  или менее, но не 0";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"7.7";"";"";"";"";"";"";
"12.06.2022 21:00";"21.5";"746.2";"759.1";"-0.2";"46";"Ветер, дующий с востоко-юго-востока";"1";"";"";"70 – 80%.";" ";"";"";"";"24.4";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"9.5";"Осадков нет";"12";"";"";"";"";
"12.06.2022 18:00";"23.9";"746.4";"759.3";"-0.8";"41";"Ветер, дующий с востоко-северо-востока";"1";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"20–30%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"9.8";"Осадков нет";"12";"";"";"";"";
"12.06.2022 15:00";"23.4";"747.2";"760.1";"-0.8";"41";"Ветер, дующий с востоко-северо-востока";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"9.4";"";"";"";"";"";"";
"12.06.2022 12:00";"23.1";"748.0";"760.9";"-0.7";"47";"Ветер, дующий с востока";"1";"";"";"60%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"60%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"11.3";"";"";"";"";"";"";
"12.06.2022 09:00";"21.2";"748.7";"761.8";"0.2";"60";"Ветер, дующий с востока";"1";"";"";"60%.";" ";"";"";"16.6";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"20–30%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"13.1";"0.2";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"17.0";"";"";
"12.06.2022 06:00";"17.6";"748.5";"761.7";"0.2";"79";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"16.6";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"13.8";"0.2";"12";"";"";"";"";
"12.06.2022 03:00";"16.7";"748.3";"761.5";"-0.2";"90";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2000-2500";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"20.0";"15.0";"";"";"";"";"";"";
"12.06.2022 00:00";"16.9";"748.5";"761.8";"0.3";"92";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";"Ливневый(ые) дождь(и). ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"19.0";"15.6";"";"";"";"";"";"";
"11.06.2022 21:00";"19.9";"748.2";"761.3";"0.1";"63";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"";"23.0";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"1000-1500";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"12.5";"Следы осадков";"12";"";"";"";"";
"11.06.2022 18:00";"22.7";"748.1";"761.1";"-0.8";"54";"Ветер, дующий с востока";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"12.8";"Следы осадков";"12";"";"";"";"";
"11.06.2022 15:00";"21.2";"748.9";"762.0";"-0.1";"56";"Ветер, дующий с северо-северо-востока";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"20.0";"11.9";"";"";"";"";"";"";
"11.06.2022 12:00";"21.6";"749.0";"762.1";"0.3";"53";"Ветер, дующий с северо-северо-востока";"2";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"70 – 80%.";"600-1000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"20.0";"11.6";"";"";"";"";"";"";
"11.06.2022 09:00";"21.3";"748.7";"761.7";"0.3";"60";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"14.1";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба.";"20.0";"13.2";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"14.0";"";"";
"11.06.2022 06:00";"16.8";"748.4";"761.6";"0.2";"78";"Штиль, безветрие";"0";"";"";"10%  или менее, но не 0";" ";"";"";"14.1";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"10%  или менее, но не 0";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"12.9";"Осадков нет";"12";"";"";"";"";
"11.06.2022 03:00";"14.7";"748.2";"761.5";"0.3";"85";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"12.2";"";"";"";"";"";"";
"11.06.2022 00:00";"17.4";"747.9";"761.1";"0.5";"75";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"12.8";"";"";"";"";"";"";
"10.06.2022 21:00";"21.3";"747.4";"760.3";"0.5";"56";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"26.0";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"12.2";"Осадков нет";"12";"";"";"";"";
"10.06.2022 18:00";"24.9";"746.9";"759.8";"-0.4";"39";"Ветер, дующий с северо-запада";"2";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"10.1";"Осадков нет";"12";"";"";"";"";
"10.06.2022 15:00";"25.4";"747.3";"760.1";"0.0";"40";"Ветер, дующий с северо-запада";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"60%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"10.8";"";"";"";"";"";"";
"10.06.2022 12:00";"24.9";"747.3";"760.1";"0.0";"44";"Ветер, дующий с западо-северо-запада";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"40%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"11.8";"";"";"";"";"";"";
"10.06.2022 09:00";"22.5";"747.3";"760.2";"0.2";"64";"Ветер, дующий с севера";"2";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"17.6";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"15.3";"0.8";"12";"Поверхность почвы влажная.";"18.0";"";"";
"10.06.2022 06:00";"18.7";"747.1";"760.1";"0.6";"92";"Штиль, безветрие";"0";"";"";"60%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"17.6";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"19.0";"17.3";"0.8";"12";"";"";"";"";
"10.06.2022 03:00";"18.8";"746.5";"759.6";"0.4";"80";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"15.3";"";"";"";"";"";"";
"10.06.2022 00:00";"18.9";"746.1";"759.2";"0.5";"81";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"15.6";"";"";"";"";"";"";
"09.06.2022 21:00";"22.3";"745.6";"758.6";"0.0";"58";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"27.6";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"14.0";"13.6";"Осадков нет";"12";"";"";"";"";
"09.06.2022 18:00";"26.8";"745.6";"758.4";"-0.6";"38";"Ветер, дующий с юга";"1";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"11.1";"Осадков нет";"12";"";"";"";"";
"09.06.2022 15:00";"27.3";"746.2";"758.9";"-0.7";"29";"Ветер, дующий с востоко-юго-востока";"1";"";"";"40%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"7.9";"";"";"";"";"";"";
"09.06.2022 12:00";"24.7";"746.9";"759.8";"-0.3";"29";"Ветер, дующий с северо-северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"5.4";"";"";"";"";"";"";
"09.06.2022 09:00";"22.6";"747.2";"760.2";"0.0";"38";"Ветер, дующий с востоко-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"9.8";"";"";"";"";"";"";"19.0";"7.4";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"9.0";"";"";
"09.06.2022 06:00";"13.0";"747.2";"760.6";"-0.2";"84";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"9.8";"";"";"";"";"";"";"20.0";"10.4";"Осадков нет";"12";"";"";"";"";
"09.06.2022 03:00";"10.3";"747.4";"760.9";"0.0";"83";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"7.5";"";"";"";"";"";"";
"09.06.2022 00:00";"12.9";"747.4";"760.8";"0.4";"66";"Штиль, безветрие";"0";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"6.7";"";"";"";"";"";"";
"08.06.2022 21:00";"17.5";"747.0";"760.2";"0.2";"55";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"24.0";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"8.3";"Осадков нет";"12";"";"";"";"";
"08.06.2022 18:00";"23.4";"746.8";"759.7";"-0.6";"24";"Ветер, дующий с севера";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"1.7";"Осадков нет";"12";"";"";"";"";
"08.06.2022 15:00";"22.9";"747.4";"760.4";"-0.6";"26";"Ветер, дующий с севера";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"2.1";"";"";"";"";"";"";
"08.06.2022 12:00";"20.9";"748.0";"761.1";"0.0";"32";"Ветер, дующий с северо-северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"3.7";"";"";"";"";"";"";
"08.06.2022 09:00";"19.1";"748.0";"761.2";"0.3";"42";"Ветер, дующий с северо-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"9.7";"";"";"";"";"";"";"20.0";"5.7";"Осадков нет";"12";"Поверхность почвы влажная.";"10.0";"";"";
"08.06.2022 06:00";"12.6";"747.7";"761.1";"0.3";"75";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"9.7";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2000-2500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"8.3";"Осадков нет";"12";"";"";"";"";
"08.06.2022 03:00";"9.8";"747.4";"761.0";"-0.1";"81";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2000-2500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"6.7";"";"";"";"";"";"";
